"MEMBER_LOGIN_ID"	"MEMBER_ID"	"LOGIN_DATETIME"	"MOBILE_LOGIN_FLG"	"LOGIN_MEMBER_STATUS_CODE"
"1"	"3"	"2006-12-24 23:59:59.000"	"0"	"FML"
"2"	"6"	"2007-11-11 16:16:16.000"	"0"	"FML"
"3"	"1"	"2006-12-23 22:56:29.000"	"0"	"FML"
"4"	"6"	"2007-11-01 02:13:00.000"	"0"	"FML"
"5"	"7"	"2006-05-24 23:12:59.000"	"0"	"FML"
"6"	"6"	"2005-11-11 16:32:01.000"	"0"	"PRV"
"7"	"6"	"2006-01-28 23:59:59.000"	"1"	"FML"
"8"	"6"	"2007-11-09 16:23:00.000"	"0"	"FML"
"9"	"8"	"2006-12-22 23:59:59.000"	"0"	"FML"
"10"	"6"	"2007-11-11 09:01:00.000"	"0"	"FML"
"11"	"1"	"2006-12-23 23:59:59.000"	"0"	"FML"
"12"	"9"	"2007-11-15 12:43:00.000"	"0"	"FML"
"13"	"10"	"2006-12-24 23:59:59.000"	"0"	"FML"
"14"	"6"	"2007-04-01 16:23:01.000"	"0"	"FML"
"15"	"7"	"2006-12-24 23:59:20.000"	"1"	"FML"
"16"	"6"	"2007-05-01 12:23:02.000"	"0"	"FML"
"17"	"7"	"2006-12-24 23:59:21.000"	"0"	"FML"
"18"	"6"	"2007-06-11 17:23:03.000"	"0"	"FML"
"19"	"4"	"2006-12-24 23:59:22.000"	"0"	"FML"
"20"	"3"	"2007-11-01 16:12:04.000"	"0"	"FML"
"21"	"11"	"2006-12-24 23:59:23.000"	"0"	"FML"
"22"	"1"	"2007-11-01 16:23:05.000"	"0"	"PRV"
"23"	"9"	"2006-12-24 23:59:24.000"	"1"	"FML"
"24"	"8"	"2007-11-01 16:23:06.000"	"0"	"FML"
"25"	"7"	"2007-12-24 11:59:25.000"	"1"	"FML"
"26"	"6"	"2007-06-21 01:23:57.000"	"0"	"FML"
"27"	"5"	"2006-12-24 23:59:26.000"	"0"	"FML"
"28"	"3"	"2007-11-01 16:23:08.000"	"0"	"FML"
"29"	"3"	"2006-12-24 23:59:27.000"	"0"	"FML"
"30"	"10"	"2007-11-01 16:23:09.000"	"0"	"FML"
"31"	"15"	"2006-07-24 23:59:28.000"	"0"	"FML"
"32"	"14"	"2007-11-01 17:23:10.000"	"0"	"FML"
"33"	"15"	"2007-11-01 16:23:10.000"	"0"	"FML"
"34"	"18"	"2006-07-24 23:59:29.000"	"0"	"FML"
"35"	"3"	"2007-11-01 17:23:11.000"	"0"	"PRV"
"36"	"5"	"2007-11-01 16:23:11.000"	"1"	"FML"
"37"	"11"	"2006-07-24 23:59:30.000"	"0"	"FML"
"38"	"20"	"2007-11-01 17:23:12.000"	"1"	"FML"
"39"	"19"	"2007-11-01 16:23:12.000"	"0"	"FML"
"40"	"4"	"2006-07-24 23:59:31.000"	"0"	"FML"
"41"	"4"	"2007-11-01 17:23:13.000"	"0"	"FML"
"42"	"4"	"2007-11-01 16:23:13.000"	"0"	"FML"
"43"	"4"	"2006-07-24 23:52:32.000"	"0"	"FML"
"44"	"4"	"2007-11-01 11:23:14.000"	"0"	"FML"
"45"	"4"	"2007-11-21 06:23:14.000"	"0"	"FML"
"46"	"12"	"2006-07-24 23:52:33.000"	"0"	"PRV"
"47"	"13"	"2007-11-01 11:23:15.000"	"1"	"FML"
"48"	"14"	"2007-11-21 06:23:15.000"	"0"	"FML"
"49"	"17"	"2006-07-24 23:52:34.000"	"1"	"FML"
"50"	"18"	"2007-11-01 11:23:16.000"	"0"	"FML"
"51"	"16"	"2007-11-21 06:23:16.000"	"0"	"FML"
"52"	"4"	"2006-07-24 23:52:35.000"	"0"	"FML"
"53"	"5"	"2007-11-01 11:23:17.000"	"0"	"FML"
"54"	"5"	"2007-11-21 06:23:17.000"	"0"	"FML"
"55"	"11"	"2006-07-24 23:52:36.000"	"0"	"FML"
"56"	"12"	"2007-11-01 11:23:18.000"	"0"	"FML"