"PURCHASE_ID"	"MEMBER_ID"	"PRODUCT_ID"	"PURCHASE_DATETIME"	"PURCHASE_COUNT"	"PURCHASE_PRICE"	"PAYMENT_COMPLETE_FLG"	"VERSION_NO"
"1"	"5"	"3"	"2006-12-24 23:59:59.000"	"1"	"1800"	"1"	"0"
"2"	"15"	"7"	"2007-11-11 16:16:16.000"	"1"	"1700"	"1"	"0"
"3"	"13"	"3"	"2006-12-23 22:56:29.000"	"1"	"1800"	"1"	"0"
"4"	"2"	"5"	"2007-11-01 02:13:00.000"	"2"	"1700"	"1"	"0"
"5"	"9"	"11"	"2008-01-04 23:12:59.000"	"5"	"1800"	"1"	"0"
"6"	"20"	"2"	"2002-01-01 16:32:01.000"	"1"	"2000"	"1"	"0"
"7"	"19"	"9"	"2006-01-29 00:00:00.000"	"1"	"1000"	"0"	"0"
"8"	"4"	"7"	"2007-11-09 16:23:00.000"	"1"	"1535"	"1"	"0"
"9"	"4"	"10"	"2006-12-22 23:59:59.000"	"20"	"1700"	"1"	"0"
"10"	"2"	"10"	"2007-11-01 02:13:00.000"	"1"	"1700"	"0"	"0"
"11"	"5"	"2"	"2007-11-09 16:23:01.000"	"1"	"1800"	"1"	"0"
"12"	"15"	"2"	"2006-12-22 23:59:12.000"	"1"	"1700"	"1"	"0"
"13"	"13"	"8"	"2007-11-01 02:13:00.000"	"1"	"1800"	"1"	"0"
"14"	"2"	"4"	"2007-11-09 16:23:02.000"	"2"	"1700"	"1"	"0"
"15"	"9"	"11"	"2006-12-22 23:59:32.000"	"5"	"1800"	"1"	"0"
"16"	"20"	"1"	"2007-11-01 02:13:00.000"	"1"	"2000"	"1"	"0"
"17"	"19"	"11"	"2006-12-22 23:59:33.000"	"2"	"1000"	"0"	"0"
"18"	"4"	"10"	"2007-11-01 02:13:00.000"	"1"	"1535"	"1"	"0"
"19"	"4"	"11"	"2007-11-01 02:13:00.000"	"4"	"1700"	"1"	"0"
"20"	"2"	"11"	"2006-12-22 23:59:35.000"	"1"	"1700"	"0"	"0"
"21"	"2"	"15"	"2006-12-22 23:59:35.000"	"1"	"400000"	"0"	"0"
"22"	"3"	"6"	"2007-11-01 02:13:00.000"	"4"	"1800"	"1"	"0"
"23"	"15"	"7"	"2006-12-22 23:59:36.000"	"1"	"1700"	"1"	"0"
"24"	"13"	"3"	"2007-09-11 12:13:00.000"	"1"	"1800"	"1"	"0"
"25"	"16"	"2"	"2006-12-22 23:59:37.000"	"2"	"1700"	"1"	"0"
"26"	"3"	"4"	"2005-12-21 12:13:00.000"	"1"	"1800"	"1"	"0"
"27"	"2"	"8"	"2006-12-22 23:59:38.000"	"1"	"2000"	"1"	"0"
"28"	"6"	"17"	"2007-11-01 02:13:00.000"	"2"	"600"	"0"	"0"
"29"	"4"	"4"	"2006-12-22 23:59:39.000"	"1"	"1535"	"1"	"0"
"30"	"4"	"3"	"2007-11-01 02:13:00.000"	"4"	"1700"	"1"	"0"
"31"	"4"	"10"	"2006-12-22 23:59:40.000"	"1"	"1700"	"0"	"0"
"32"	"13"	"3"	"2006-12-28 12:13:10.000"	"1"	"1800"	"1"	"0"
"33"	"16"	"2"	"2006-12-22 23:59:41.000"	"2"	"1700"	"1"	"0"
"34"	"3"	"4"	"2007-05-21 12:13:00.000"	"1"	"1800"	"1"	"0"
"35"	"2"	"8"	"2006-12-12 23:59:42.000"	"1"	"2000"	"1"	"0"
"36"	"6"	"3"	"2007-05-01 02:13:00.000"	"2"	"1000"	"0"	"0"
"37"	"4"	"4"	"2006-12-12 23:59:43.000"	"1"	"1535"	"1"	"0"
"38"	"4"	"3"	"2007-05-01 02:03:00.000"	"4"	"1700"	"1"	"0"
"39"	"4"	"10"	"2006-12-12 23:59:44.000"	"1"	"1700"	"0"	"0"
"40"	"4"	"10"	"2007-05-01 12:13:00.000"	"1"	"1700"	"0"	"0"
"41"	"4"	"11"	"2007-11-01 02:13:01.000"	"4"	"1700"	"1"	"0"
"42"	"10"	"16"	"2006-12-22 23:59:40.000"	"1"	"2800000"	"1"	"0"
"43"	"13"	"17"	"2006-12-28 12:13:10.000"	"1"	"1800"	"1"	"0"
"44"	"16"	"14"	"2006-12-22 23:59:41.000"	"2"	"1700"	"1"	"0"
"45"	"3"	"18"	"2007-05-21 12:13:00.000"	"1"	"1800"	"1"	"0"
"46"	"2"	"7"	"2006-12-12 23:59:42.000"	"1"	"2000"	"1"	"0"
"47"	"6"	"14"	"2007-05-01 02:13:00.000"	"2"	"1000"	"0"	"0"
"48"	"16"	"12"	"2006-12-12 23:59:43.000"	"1"	"100000"	"1"	"0"
"49"	"4"	"20"	"2007-05-01 02:03:00.000"	"4"	"1700"	"1"	"0"
"50"	"4"	"19"	"2006-12-12 23:59:44.000"	"1"	"1700"	"0"	"0"
"51"	"4"	"11"	"2007-11-21 02:13:00.000"	"4"	"1700"	"1"	"0"
"52"	"20"	"17"	"2006-12-23 23:59:40.000"	"1"	"400"	"0"	"0"
"53"	"13"	"16"	"2007-12-28 12:13:10.000"	"1"	"600000"	"1"	"0"
"54"	"16"	"14"	"2006-02-22 23:59:41.000"	"2"	"1700"	"1"	"0"
"55"	"3"	"3"	"2007-07-21 12:13:00.000"	"1"	"1800"	"1"	"0"
"56"	"2"	"8"	"2006-12-22 23:59:42.000"	"1"	"2000"	"1"	"0"
"57"	"6"	"19"	"2007-02-01 02:13:00.000"	"2"	"1000"	"0"	"0"
"58"	"2"	"12"	"2006-12-12 23:59:43.000"	"1"	"4000000"	"1"	"0"
"59"	"4"	"18"	"2007-05-01 02:03:00.000"	"1"	"380"	"1"	"0"
"60"	"4"	"20"	"2006-12-12 23:59:44.000"	"2"	"680"	"0"	"0"
"61"	"1"	"16"	"2008-03-03 06:34:56.000"	"3"	"12000000"	"1"	"0"
"62"	"1"	"2"	"2009-06-04 06:34:56.000"	"12"	"20000"	"1"	"0"
"63"	"1"	"6"	"2010-09-26 06:34:56.000"	"2"	"2000"	"1"	"0"
"64"	"1"	"8"	"2011-03-03 09:45:29.000"	"1"	"50"	"1"	"0"
"65"	"1"	"13"	"2012-06-04 09:45:29.000"	"1"	"1000000"	"1"	"0"
"66"	"1"	"13"	"2013-09-26 09:45:29.000"	"1"	"900000"	"1"	"0"
"67"	"1"	"5"	"2014-03-03 21:02:12.000"	"2"	"3000"	"1"	"0"
"68"	"1"	"17"	"2015-06-04 21:02:12.000"	"30"	"3000"	"1"	"0"
"69"	"1"	"17"	"2016-09-26 21:02:12.000"	"1"	"1000"	"1"	"0"
"70"	"1"	"17"	"2017-03-03 01:11:00.000"	"1"	"1200"	"1"	"0"